ast
random
n = 200, k = 15, nl = 4, z_opt = 1.328166
n = 200, k = 15, nl = 8, z_opt = 1.434083
n = 200, k = 15, nl = 16, z_opt = 1.180728
n = 400, k = 5, nl = 2, z_opt = 1.683359
n = 400, k = 5, nl = 4, z_opt = 1.538313
n = 400, k = 5, nl = 8, z_opt = 1.325870
n = 400, k = 5, nl = 16, z_opt = 1.230260
n = 400, k = 10, nl = 2, z_opt = 1.777901
n = 400, k = 10, nl = 4, z_opt = 1.133422
n = 400, k = 10, nl = 8, z_opt = 1.760018
n = 400, k = 10, nl = 16, z_opt = 1.421213
n = 400, k = 15, nl = 2, z_opt = 1.367576
n = 400, k = 15, nl = 4, z_opt = 1.763813
n = 400, k = 15, nl = 8, z_opt = 1.328160
n = 400, k = 15, nl = 16, z_opt = 1.617274
n = 800, k = 5, nl = 2, z_opt = 1.482712
n = 800, k = 5, nl = 4, z_opt = 1.470910
n = 800, k = 5, nl = 8, z_opt = 1.435582
n = 800, k = 5, nl = 16, z_opt = 1.334063
n = 800, k = 10, nl = 2, z_opt = 1.306914
n = 800, k = 10, nl = 4, z_opt = 1.507566
n = 800, k = 10, nl = 8, z_opt = 1.838979
n = 800, k = 10, nl = 16, z_opt = 1.124808
n = 800, k = 15, nl = 2, z_opt = 1.157850
n = 800, k = 15, nl = 4, z_opt = 1.751359
n = 800, k = 15, nl = 8, z_opt = 1.443771
n = 800, k = 15, nl = 16, z_opt = 1.643339
dast
equispaced
n = 100, k = 5, nl = 2, z_opt = 0.909413
n = 100, k = 5, nl = 4, z_opt = 1.481045
n = 100, k = 5, nl = 8, z_opt = 0.929770
n = 100, k = 5, nl = 16, z_opt = 0.989359
n = 100, k = 10, nl = 2, z_opt = 1.607586
n = 100, k = 10, nl = 4, z_opt = 1.436538
n = 100, k = 10, nl = 8, z_opt = 1.146946
n = 100, k = 10, nl = 16, z_opt = 1.217852
n = 100, k = 15, nl = 2, z_opt = 1.956870
n = 100, k = 15, nl = 4, z_opt = 1.140629
n = 100, k = 15, nl = 8, z_opt = 1.454255
n = 100, k = 15, nl = 16, z_opt = 1.587361
n = 200, k = 5, nl = 2, z_opt = 1.348751
n = 200, k = 5, nl = 4, z_opt = 1.637913
n = 200, k = 5, nl = 8, z_opt = 0.958693
n = 200, k = 5, nl = 16, z_opt = 1.408331
n = 200, k = 10, nl = 2, z_opt = 1.424433
n = 200, k = 10, nl = 4, z_opt = 0.951220
n = 200, k = 10, nl = 8, z_opt = 1.357839
n = 200, k = 10, nl = 16, z_opt = 1.355052
n = 200, k = 15, nl = 2, z_opt = 1.727307
n = 200, k = 15, nl = 4, z_opt = 0.930949
n = 200, k = 15, nl = 8, z_opt = 1.076266
n = 200, k = 15, nl = 16, z_opt = 1.544461
n = 400, k = 5, nl = 2, z_opt = 1.424488
n = 400, k = 5, nl = 4, z_opt = 1.607586
n = 400, k = 5, nl = 8, z_opt = 1.592039
n = 400, k = 5, nl = 16, z_opt = 2.005310
n = 400, k = 10, nl = 2, z_opt = 2.019004
n = 400, k = 10, nl = 4, z_opt = 1.382834
n = 400, k = 10, nl = 8, z_opt = 1.625540
n = 400, k = 10, nl = 16, z_opt = 1.221597
n = 400, k = 15, nl = 2, z_opt = 1.637894
n = 400, k = 15, nl = 4, z_opt = 1.325739
n = 400, k = 15, nl = 8, z_opt = 1.166251
n = 400, k = 15, nl = 16, z_opt = 1.268404
n = 800, k = 5, nl = 2, z_opt = 1.136812
n = 800, k = 5, nl = 4, z_opt = 1.896496
n = 800, k = 5, nl = 8, z_opt = 1.287825
n = 800, k = 5, nl = 16, z_opt = 1.230260
n = 800, k = 10, nl = 2, z_opt = 1.418502
n = 800, k = 10, nl = 4, z_opt = 1.662129
n = 800, k = 10, nl = 8, z_opt = 1.246954
n = 800, k = 10, nl = 16, z_opt = 1.562094
n = 800, k = 15, nl = 2, z_opt = 1.089384
n = 800, k = 15, nl = 4, z_opt = 1.440521
n = 800, k = 15, nl = 8, z_opt = 1.260580
n = 800, k = 15, nl = 16, z_opt = 1.491146
